cliente_id,feature_1,feature_2
P0000,-0.7898150630767391,0.5762015775049067
P0001,0.9874575927512657,0.021569797010000558
P0002,0.32171054410117333,0.8314762047502695
P0003,0.9377563095451923,0.04612015186828003
P0004,-0.025367363364497034,1.0480694728499138
P0005,0.8412878975154027,0.3145831267249755
P0006,-0.9049713351495073,0.4075652837788686
P0007,-0.9561569135570126,0.1673091743467051
P0008,-0.1903465950291477,1.0895601719809767
P0009,-0.7012224715833767,0.7731353181693927
P0010,-0.9752028893632201,0.24130620020226246
P0011,-0.8984361681976193,0.5012729808368318
P0012,0.23558556793913513,0.8440091921164888
P0013,0.8073128178105946,0.5326883811004175
P0014,-0.624276559618862,0.7390537936029888
P0015,0.8972267612204742,0.5761154544664555
P0016,1.0197408318776284,0.3179919849580478
P0017,-0.3780242100838956,1.0110282297208524
P0018,-0.7904807261549706,0.6529306757890525
P0019,-0.8722968014764115,0.5918080549216634
P0020,-0.16305206995572605,1.059934920504519
P0021,-1.0395410948661303,0.11520192222355459
P0022,1.0090720132066513,0.06251679204965188
P0023,1.0371567416175238,0.19391005707161058
P0024,-0.8621491118821623,0.590426395359596
P0025,0.3948756176507049,0.9224712765307401
P0026,0.6252754829182776,0.7499173377817242
P0027,0.22200922998113654,1.0880171717776017
P0028,-0.9167788216579711,0.5680695268349059
P0029,-0.7855966456308202,0.6171058190008697
P0030,0.5494477663864371,0.8085193797193947
P0031,0.3454741959675564,0.8874882653677676
P0032,0.6064602560978741,0.6721236011606366
P0033,0.8556329758984067,0.5748457712076455
P0034,0.9230798160327119,0.193269807194381
P0035,-1.014201676915344,0.16698749674132146
P0036,-0.4442686943295992,0.9380273941222816
P0037,-1.1451119954263147,0.15558391149428152
P0038,1.0768070103530738,0.02604540721062093
P0039,0.36768403328576704,1.0368584226453206
P0040,0.03199860407915265,1.060408942243044
P0041,-0.7427044690983746,0.7383371526024364
P0042,-1.044806051718374,0.06559959362781473
P0043,0.9558678966277729,0.26163599623048506
P0044,0.9259205840104532,0.023576303659445352
P0045,0.26604384350167776,0.9764700371029214
P0046,-0.8427922710075424,0.3502777102456742
P0047,0.7448062043991057,0.7914958630107687
P0048,-0.9060889558950013,0.3570413936720309
P0049,0.4417199632059166,0.8429865287601546
P0050,1.0942841919848154,0.02814975085815089
P0051,-0.7241437409785445,0.7269623077703912
P0052,0.8271912491301139,0.5171407495953775
P0053,-0.9134972687899792,0.4008134687545025
